id,group,scope,name,qty,spare,unit,pack,refs,spec,basis,gate,pid,price,url,source,notes,onhand,included
E06,전원·보호,기본,DC 접촉기 + NO 보조접점,1,0,세트,1,K1,12V 코일; 주접점 DC정격; 별도 NO 13-14,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,세트에 보조접점 미포함이면 별도 부품 필요. 12V 컨버터는 기본 구성에서도 코일을 공급.,0,0
E07,전원·보호,기본,접촉기 코일 서지 억제기,1,0,개,1,Z1,E06 제조사 지정; 해제시간 검증,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,내장 억제기 포함이면 차감. 임의 플라이백 다이오드로 대체하지 않음.,0,0
E08,전원·보호,기본,래칭 NC 비상정지 버튼,1,0,개,1,S1,회전 복귀; NC 접점; 설치 홀 확인,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,접점 블록 포함 확인. 이 단일 채널 회로는 안전인증 회로가 아님.,0,0
E09,전원·보호,기본,순간 NO 수동 재무장 버튼,1,0,개,1,S2,모멘터리 NO; 설치 홀 확인,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,버튼 헤드만 판매하는 상품은 접점 블록 별도 계상.,0,0
E10,전원·보호,기본,24V class → 12V DC-DC,1,0,개,1,DC1,12V 20A 목표; 입력 완충/과도전압 허용,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,서보 미사용도 K1 코일 때문에 12V 전원 필요. 용량 축소는 회로 변경 후에만.,0,0
E11,전원·보호,기본,24V class → 5V DC-DC,1,0,개,1,DC2,5V 10A 목표; 연속출력·OVP·단락 보호,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,부하단 5V와 USB 기동 응답/전압강하 검증. 10A 문구만으로 선정하지 않음.,0,0
E12,전원·보호,기본,접촉기 후단 좌/우 분기 접속부,1,0,세트,1,,K1 출력 → F1/F2의 3접속 이상,전력 하네스 보완,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,용량 맞는 분배단자/압착분기. K1 스터드 적층 가능 여부에 따라 통합 가능.,0,0
E13,전원·보호,기본,12V 출력 분배부,1,0,세트,1,,DC1 → F9 및 옵션 F5/F6; 절연커버,전력 하네스 보완,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,다중 분기 배선 구현용. 컨버터 일체형 단자 수가 충분하면 동봉 차감.,0,0
E14,전원·보호,기본,5V 출력 분배부,1,0,세트,1,,DC2 → F7/F8 및 옵션 F10; 전압강하 최소화,전력 하네스 보완,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,24V/12V/5V 양극 공통 버스 사용 금지.,0,0
E15,전원·보호,기본,충전 분기 보호장치,,0,세트,1,,충전기/BMS 제조사 설계에 따름,충전 경로 미확정,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,일체형 팩 내부 보호로 충족되는지 확인. 필요 여부·정격 미정으로 0개 처리하지 않음.,0,0
F01,퓨즈·홀더,기본,메인 퓨즈,1,1,개,1,F0,60A * / 형식·차단용량 미확정,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,* 원본 검토값이며 발주 승인값 아님. 정격 확정 후 장착분과 동일 수량의 교체 예비 확보.,0,0
F02,퓨즈·홀더,기본,모터 입력 분기 퓨즈,2,2,개,1,"F1,F2",25A * / 좌우 각 1,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,* 원본 검토값이며 발주 승인값 아님. 정격 확정 후 장착분과 동일 수량의 교체 예비 확보.,0,0
F03,퓨즈·홀더,기본,12V 컨버터 입력 퓨즈,1,1,개,1,F3,15A *,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,* 원본 검토값이며 발주 승인값 아님. 정격 확정 후 장착분과 동일 수량의 교체 예비 확보.,0,0
F04,퓨즈·홀더,기본,5V 컨버터 입력 퓨즈,1,1,개,1,F4,5A *,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,* 원본 검토값이며 발주 승인값 아님. 정격 확정 후 장착분과 동일 수량의 교체 예비 확보.,0,0
F05,퓨즈·홀더,조향옵션,12V 서보 출력 퓨즈,2,2,개,1,"F5,F6",10A * / 좌우 각 1,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,* 원본 검토값이며 발주 승인값 아님. 정격 확정 후 장착분과 동일 수량의 교체 예비 확보.,0,0
F06,퓨즈·홀더,기본,Orange Pi·허브 5V 분기 퓨즈,2,2,개,1,"F7,F8",4A * / 각 1,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,* 원본 검토값이며 발주 승인값 아님. 정격 확정 후 장착분과 동일 수량의 교체 예비 확보.,0,0
F07,퓨즈·홀더,기본,접촉기 코일 퓨즈,1,1,개,1,F9,1A *,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,* 원본 검토값이며 발주 승인값 아님. 정격 확정 후 장착분과 동일 수량의 교체 예비 확보.,0,0
F08,퓨즈·홀더,조향옵션,버퍼 5V 분기 퓨즈,1,1,개,1,F10,0.5A *,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,* 원본 검토값이며 발주 승인값 아님. 정격 확정 후 장착분과 동일 수량의 교체 예비 확보.,0,0
F09,퓨즈·홀더,기본,메인 퓨즈 홀더 + 절연 커버,1,0,개,1,,F01과 동일 형식; DC 전류·차단 조건,F0 장착 보완,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,홀더 일체형으로 구매할 때 퓨즈 동봉 수를 별도 확인.,0,0
F10,퓨즈·홀더,기본,24V 입력 분기 퓨즈 홀더,4,0,개,1,,F1~F4: 모터 2 + 컨버터 2,퓨즈 장착 수량 산출,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,전선/단자 허용전류를 각각 검증. 4회로 공통양극 구조는 K1 전/후 회로를 우회할 수 있어 금지.,0,0
F11,퓨즈·홀더,기본,5V 출력 분기 퓨즈 홀더,2,0,개,1,,F7/F8: Pi·허브 각 1,퓨즈 장착 수량 산출,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,5V 전압강하를 고려한 접점/전선 선정.,0,0
F12,퓨즈·홀더,기본,12V 코일 퓨즈 홀더,1,0,개,1,,F9 1A 후보 대응,퓨즈 장착 수량 산출,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,,0,0
F13,퓨즈·홀더,조향옵션,서보 퓨즈 홀더,2,0,개,1,,F5/F6 10A 후보 대응,퓨즈 장착 수량 산출,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,,0,0
F14,퓨즈·홀더,조향옵션,5V 버퍼 퓨즈 홀더,1,0,개,1,,F10 0.5A 후보 대응,퓨즈 장착 수량 산출,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,,0,0
D01,구동·조향,기본,브러시드 DC 감속모터,2,0,개,1,"ML,MR",24V 250W ×2; 감속비/RPM/축/스톨 확인,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,무감속 고속 모터와 혼동 금지. 좌우 기구/회전 방향 및 제동 방식 확정 필요.,0,0
D02,구동·조향,기본,모터 드라이버,2,0,개,1,"MDL,MDR",Pololu G2 SMC 24v19 #1367 조건부,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,국내 재고 미확인. 포함 단자대의 15~16A 안내와 분기25A 보호 불일치 검토. BTS7960 재사용 금지.,0,0
D03,구동·조향,조향옵션,고토크 조향 서보,2,0,개,1,"SVL,SVR",RDS51150 12V형; PWM/핀/피드백 확인,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,기본 차동구동+자유 캐스터와 다른 옵션. 조향 링크·끝점 확정 전 발주 보류.,0,0
D04,구동·조향,기본,독립 제동·주차 유지 장치,,0,세트,1,,차량 하중·경사·정지거리 기반 선정,안전 설계 미확정,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,"전원 차단만으로 정지 보장 안 됨. 방식과 장착 수 미정, 0개로 간주 금지.",0,0
D05,구동·조향,선택보완,휠/모터 엔코더,2,0,개,1,,드라이버/제어기/축 일치; 내장 여부 확인,제어 보완 제안,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,원본 실장 부품 아님. 폐루프 속도 제어 도입 시 검토; 모터 내장 엔코더 중복 구매 금지.,0,0
D06,구동·조향,조향옵션,서보 혼·출력 체결부,2,0,세트,1,,서보 스플라인/정격 토크 일치,조향 기구 보완,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,서보 기본 혼이 실제 조향 토크/축에 적합한지 확인.,0,0
D07,구동·조향,조향옵션,좌우 조향 링크·로드엔드·너클,,0,세트,1,,기구 도면·최대각·구속조건 확정,기구 설계 미확정,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,로드엔드/타이로드 개수를 임의로 정하지 않음.,0,0
B01,브레드보드·수동소자,기본,400접점 브레드보드,1,1,개,1,BB1,300 본체 + 100 전원 레일,원본 수량,국내출고 재확인,P05,900,https://www.jenomall.com/goods/goods_view.php?goodsNo=1000012080,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,1개 실장+예비1. ESP32는 외부 배치. 원본 84접점은 부품 84개가 아님.,0,0
B02,브레드보드·수동소자,기본,1kΩ 축형 저항,2,8,개,10,"R1,R2",0.25W / 5% / 리드형,원본 수량,국내출고 재확인,P09,330,https://eduino.kr/product/detail.html?product_no=349,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,10개 1봉 구매. UART TX 직렬 저항 2개; 나머지 8개 교체 예비.,0,0
B03,브레드보드·수동소자,조향옵션,220Ω 축형 저항,2,8,개,10,"R3,R4",0.25W / 5% / 리드형,원본 수량,옵션 확정 후 발주,P10,330,https://eduino.kr/product/detail.html?product_no=348,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,10개 1봉. 서보 버퍼 출력 직렬 저항.,0,0
B04,브레드보드·수동소자,조향옵션,10kΩ 축형 저항,2,8,개,10,"R5,R6",0.25W / 5% / 리드형,원본 수량,옵션 확정 후 발주,P11,330,https://eduino.kr/product/detail.html?product_no=588,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,10개 1봉. ESP32 조향 입력 풀다운.,0,0
B05,브레드보드·수동소자,조향옵션,4채널 비반전 버퍼 DIP-14,1,1,개,1,U2,TI SN74AHCT125N 정확한 접미사,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,HC/HCT/소형 SMD로 무검증 대체 금지. N=DIP; 5V 전원과 3.3V 입력 호환 검토.,0,0
B06,브레드보드·수동소자,조향옵션,100nF 세라믹 디커플링,1,9,개,1,C1,0.1uF / ≥16V / 관통형 리드,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,브레드보드용 리드 부품. 10개 확보 제안; 패키지·국내 재고 미확정.,0,0
B07,브레드보드·수동소자,준비재료,M-F 벤치 점퍼선,38,42,가닥,40,,,원본 외부 리드38 + 준비42,국내출고 재확인,P06,900,https://www.jenomall.com/goods/goods_view.php?goodsNo=1000012459,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,보수적으로 전체 B1 외부 리드 수만큼 준비. 40가닥×2=80. 20cm 카트 하네스 길이 보장 안 됨; 원본 단자 형태별 가공은 별도.,0,0
B08,브레드보드·수동소자,준비재료,M-M 벤치 점퍼선,9,31,가닥,40,,,원본 내부 점퍼9 + 준비31,국내출고 재확인,P07,1000,https://www.jenomall.com/goods/goods_view.php?goodsNo=1000012462,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,40가닥×1. 원본 9개 점퍼는 양 끝 18접점을 사용.,0,0
B09,브레드보드·수동소자,준비재료,F-F 서비스 점퍼선,0,40,가닥,40,,,예비 실험 재료; 원본 개수 아님,국내출고 재확인,P08,900,https://www.jenomall.com/goods/goods_view.php?goodsNo=1000012463,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,40가닥×1 선택 준비. 현장 모듈 핀 성별에 따라 교체 사용; 설치수량 40으로 보고하지 않음.,0,0
B10,브레드보드·수동소자,준비재료,2.54mm 수 헤더 스트립,2,1,줄,1,,1×40 직선; 절단 사용,소량 조립 여유 제안,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,"모듈에 동봉된 헤더는 차감. 스트립 1줄=40핀, 1개 부품=1핀으로 혼동 금지.",0,0
H01,케이블·접속,기본,USB 허브 upstream 케이블,1,1,개,1,,Orange Pi host → H1; 실제 플러그/길이,통신 링크1,동봉·규격 확인,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,허브에 포함되면 필요1 동봉차감; 예비1은 선택. 일반 A-A 직결선으로 임의 대체 금지.,0,0
H02,케이블·접속,기본,ESP32 micro-B 데이터 케이블,1,1,개,1,,USB A → micro-B; 50cm 후보,U1 통신 링크1,국내출고·길이 확인,P13,1000,https://eduino.kr/product/detail.html?product_no=97,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,필요1+예비1=2. 배치가 50cm를 넘으면 길이 변경 필요.,0,0
H03,케이블·접속,기본,UWB 베이스 Type-C 데이터 케이블,2,1,개,1,,호스트 A → Type-C; 1m 후보,UWL/UWR 각각1,국내출고·단자 확인,P12,3300,https://eduino.kr/product/detail.html?product_no=10002,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,2+예비1=3. 호스트측 A 수단자와 데이터 전송을 확인. 베이스 키트 동봉 시 차감.,0,0
H04,케이블·접속,기본,C1 어댑터 USB 데이터 케이블,1,1,개,1,,H1 → A1; 실제 USB 플러그,A1 통신 링크1,동봉·규격 확인,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,C1 키트 동봉 시 차감. 어댑터가 고정 USB플러그면 연장 필요 여부에 따라 수량 조정.,0,0
H05,케이블·접속,기본,C1 센서 전용 하네스,1,0,개,1,,LD1 ↔ A1; 정품 대응 피치/핀수,A1-LD1 링크1,동봉·규격 확인,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,정품 키트 동봉 여부 확인. 임의 JST-XH로 대체 금지.,0,0
H06,케이블·접속,기본,Orange Pi 전원용 Type-C 하네스,1,0,개,1,,F7 5V → SBC; ≥3A와 CC구성 검증,OP1 급전 링크1,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,임의 USB 데이터 케이블을 잘라 급전하는 설계로 승인하지 않음. 전압강하 검증.,0,0
H07,케이블·접속,기본,USB 허브 외부 5V 전원 하네스,1,0,개,1,,F8 → H1; 배럴/전용커넥터와 극성,H1 급전 링크1,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,허브 번들 AC 어댑터와 차량 DC입력 경로를 구분.,0,0
H08,케이블·접속,기본,태그 전원 케이블,1,0,개,1,,TAG1 ↔ 독립 전원; 실제 커넥터,태그 독립 급전 링크1,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,태그가 내장배터리면 충전선만 필요. 카트 배터리로 유선 연결하지 않음.,0,0
